drug_a,drug_b,cell_line,synergy
Docetaxel,Temozolomide,OCUB-M,0
Olaparib,SB216763,DiFi,0
Cisplatin,Oxaliplatin,SUIT-2,0
5-Fluorouracil,Bortezomib,HCC2157,0
Luminespib,MK-1775,MDA-MB-330,0
Axitinib,Palbociclib,EVSA-T,0
Dasatinib,AZD7762,PA-TU-8988T,0
Oxaliplatin,OSI-027,PL4,0
5-Fluorouracil,SCH772984,HT-115,0
Palbociclib,Navitoclax,BT-483,0
Navitoclax,AZD7762,BT-20,0
Docetaxel,GSK269962A,ZR-75-30,0
Taselisib,Bortezomib,HCC1569,0
OSI-027,Camptothecin,HCC1954,0
Vinorelbine,Linsitinib,LoVo,0
Gemcitabine,Lapatinib,BT-20,0
Taselisib,5-Fluorouracil,CAPAN-2,0
Crizotinib,MK-2206,GP5d,0
Oxaliplatin,AZD7762,SW837,0
Lapatinib,Olaparib,PA-TU-8988T,0
Gemcitabine,SCH772984,COLO-824,0
SCH772984,Dactolisib,CFPAC-1,0
Temozolomide,Vorinostat,HCC1569,0
Bortezomib,Doramapimod,MDA-MB-468,0
Bortezomib,Sorafenib,CAL-120,0
Bortezomib,Linsitinib,EFM-192A,0
Olaparib,SB216763,T84,0
Dabrafenib,Palbociclib,SW1463,0
SB505124,Olaparib,LoVo,0
Gemcitabine,Lapatinib,MDA-MB-415,0
Crizotinib,Navitoclax,COLO-824,0
MK-1775,NU7441,EFM-19,0
Galunisertib,Linsitinib,PSN1,0
Gemcitabine,Entinostat,HDQ-P1,1
Sorafenib,AZD7762,MIA-PaCa-2,0
MK-2206,SB216763,T84,0
Lapatinib,AZD8055,HCC1428,0
Palbociclib,AZD4547,LS-123,0
Palbociclib,Linsitinib,SW948,0
Axitinib,Palbociclib,CAMA-1,0
Lapatinib,Docetaxel,COLO-824,0
MK-2206,Temozolomide,MDA-MB-175-VII,0
Linsitinib,Dabrafenib,MDA-MB-436,0
Gemcitabine,Linsitinib,EFM-192A,0
5-Fluorouracil,Navitoclax,MRK-nu-1,0
Olaparib,SB216763,CaR-1,0
Cisplatin,Bortezomib,BT-20,0
AZD7762,Taselisib,HCC1806,0
Crizotinib,OSI-027,HCC1500,0
Lapatinib,GSK269962A,MDA-MB-415,0
Olaparib,Camptothecin,HCT-116,0
Dabrafenib,AZD7762,CCK-81,0
BMS-754807,Navitoclax,SW948,0
